mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classify__C,param_classify__penalty,param_feature_select__k,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
0.07419530550638835,0.02053613841140632,0.0026783148447672525,0.002426741953284403,0.015625,l1,4,"{'classify__C': 0.015625, 'classify__penalty': 'l1', 'feature_select__k': 4}",0.7340823970037453,0.729375,0.7409261576971214,0.7347916666666666,0.00474091799441534,71,0.7367104440275172,0.7375,0.7336039975015616,0.7359381471763596,0.0016816739055061823
0.10535883903503418,0.005863627392439499,0.0010056495666503906,7.458603036658011e-06,0.015625,l1,12,"{'classify__C': 0.015625, 'classify__penalty': 'l1', 'feature_select__k': 12}",0.7621722846441947,0.76375,0.7578222778473092,0.76125,0.0025057443859544176,47,0.7632895559724828,0.761875,0.7648344784509682,0.7633330114744837,0.001208592697017741
0.2136843204498291,0.012246781515133861,0.0011234283447265625,4.561215989520309e-06,0.015625,l1,36,"{'classify__C': 0.015625, 'classify__penalty': 'l1', 'feature_select__k': 36}",0.7602996254681648,0.7625,0.7615769712140176,0.7614583333333333,0.0009024797263085179,46,0.7651657285803627,0.7678125,0.7613991255465334,0.764792451375632,0.002631519823697964
0.03094903628031413,0.0007670601520968531,0.0009377002716064453,2.6306116802209267e-05,0.015625,l2,4,"{'classify__C': 0.015625, 'classify__penalty': 'l2', 'feature_select__k': 4}",0.731585518102372,0.731875,0.7327909887359199,0.7320833333333333,0.0005137063868134857,72,0.7320200125078173,0.7315625,0.730793254216115,0.7314585889079774,0.000506183176889636
0.049341042836507164,0.001261270403770435,0.0009909470876057942,1.0929757669029198e-05,0.015625,l2,12,"{'classify__C': 0.015625, 'classify__penalty': 'l2', 'feature_select__k': 12}",0.7602996254681648,0.7575,0.7540675844806007,0.7572916666666667,0.0025484793674893356,48,0.7560975609756098,0.7565625,0.7582760774515928,0.7569787128090675,0.0009368060403506616
0.11071070035298665,0.0015219770942449529,0.0011783440907796223,0.00014633208841258137,0.015625,l2,36,"{'classify__C': 0.015625, 'classify__penalty': 'l2', 'feature_select__k': 36}",0.787765293383271,0.786875,0.7947434292866082,0.7897916666666667,0.0035169858765190932,42,0.7942464040025016,0.7909375,0.7904434728294816,0.7918757922773277,0.0016883652201565614
0.06519087155659993,0.005042363150210877,0.0009474754333496094,1.112847077955519e-05,0.03125,l1,4,"{'classify__C': 0.03125, 'classify__penalty': 'l1', 'feature_select__k': 4}",0.7409488139825219,0.735625,0.7453066332916145,0.740625,0.003957915264755462,69,0.7420262664165104,0.74375,0.7395377888819488,0.741771351766153,0.0017290492059672084
0.1166063944498698,0.01642843250862884,0.0010441939036051433,6.88646889239351e-05,0.03125,l1,12,"{'classify__C': 0.03125, 'classify__penalty': 'l1', 'feature_select__k': 12}",0.784019975031211,0.785625,0.7841051314142679,0.7845833333333333,0.0007373895320179599,44,0.7876797998749219,0.7871875,0.7863835103060587,0.7870836033936602,0.0005342830337268673
0.23266474405924478,0.016603747888715787,0.0011241436004638672,2.2679443323529014e-05,0.03125,l1,36,"{'classify__C': 0.03125, 'classify__penalty': 'l1', 'feature_select__k': 36}",0.7852684144818977,0.795625,0.799749687108886,0.7935416666666667,0.006092724658187393,41,0.797373358348968,0.795625,0.7960649594003748,0.7963544392497809,0.0007425353713284009
0.03040281931559245,0.0005466238153027716,0.0009047985076904297,8.164458495052863e-06,0.03125,l2,4,"{'classify__C': 0.03125, 'classify__penalty': 'l2', 'feature_select__k': 4}",0.7359550561797753,0.735,0.7440550688360451,0.7383333333333333,0.004060858608905258,70,0.7398373983739838,0.74,0.7351655215490318,0.7383343066410052,0.0022416525216203543
0.051219940185546875,0.0006300127231266587,0.0009819666544596355,3.0304075821141593e-06,0.03125,l2,12,"{'classify__C': 0.03125, 'classify__penalty': 'l2', 'feature_select__k': 12}",0.7746566791510612,0.775625,0.7734668335419274,0.7745833333333333,0.0008823206800653943,45,0.775797373358349,0.773125,0.7760774515927545,0.7749999416503678,0.0013307054766952457
0.12229394912719727,0.005831360906717315,0.0010768572489420574,4.757763400744045e-06,0.03125,l2,36,"{'classify__C': 0.03125, 'classify__penalty': 'l2', 'feature_select__k': 36}",0.8052434456928839,0.805,0.809136420525657,0.8064583333333334,0.0018945288641179071,38,0.8111319574734209,0.8084375,0.8085571517801374,0.8093755364178529,0.0012429374697210409
0.0810090700785319,0.0068480503413333275,0.0009463628133138021,1.2587858755253685e-05,0.0625,l1,4,"{'classify__C': 0.0625, 'classify__penalty': 'l1', 'feature_select__k': 4}",0.7440699126092385,0.740625,0.7471839799749687,0.7439583333333334,0.002678019596002096,66,0.7426516572858036,0.74625,0.7445346658338539,0.7444787743732192,0.0014695487887401337
0.11390137672424316,0.009818109928281209,0.0010280609130859375,3.270827171485802e-05,0.0625,l1,12,"{'classify__C': 0.0625, 'classify__penalty': 'l1', 'feature_select__k': 12}",0.8014981273408239,0.79875,0.7984981226533167,0.7995833333333333,0.0013591263980865973,40,0.8005003126954346,0.8015625,0.801998750780762,0.8013538544920656,0.0006292741240910206
0.24046246210734049,0.010762047397203144,0.0011722246805826824,7.290473008681845e-05,0.0625,l1,36,"{'classify__C': 0.0625, 'classify__penalty': 'l1', 'feature_select__k': 36}",0.8146067415730337,0.80875,0.8191489361702128,0.8141666666666667,0.004255434424654522,22,0.8198874296435272,0.818125,0.8213616489693941,0.8197913595376405,0.001323101466681938
