mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_feature_select__k,param_regression__alpha_1,param_regression__alpha_2,param_regression__lambda_1,param_regression__lambda_2,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
0.06413928667704265,0.004879927894247127,0.0021926561991373696,0.0001076500295056787,100,0.1,0.1,0.1,0.1,"{'feature_select__k': 100, 'regression__alpha_1': 0.1, 'regression__alpha_2': 0.1, 'regression__lambda_1': 0.1, 'regression__lambda_2': 0.1}",-1343.1864624404,-1225.725944484433,-1405.5354262353248,-1324.8159443867194,74.54738708611916,5,-1212.8244442641355,-1230.3200329737758,-1167.3913112075052,-1203.5119294818055,26.521038245922337
0.13775221506754556,0.0056743918657639544,0.0031682650248209634,1.1207082222446206e-05,200,0.1,0.1,0.1,0.1,"{'feature_select__k': 200, 'regression__alpha_1': 0.1, 'regression__alpha_2': 0.1, 'regression__lambda_1': 0.1, 'regression__lambda_2': 0.1}",-1266.0125464761165,-1197.180460240703,-1325.790076299033,-1262.9943610052842,52.5480124477924,1,-1123.3914396352536,-1110.874918775607,-1066.6291678675864,-1100.2985087594823,24.35000630634437
0.22614971796671549,0.002175496608202815,0.004176537195841472,4.809887611881561e-05,300,0.1,0.1,0.1,0.1,"{'feature_select__k': 300, 'regression__alpha_1': 0.1, 'regression__alpha_2': 0.1, 'regression__lambda_1': 0.1, 'regression__lambda_2': 0.1}",-1269.996352692801,-1198.8876171886673,-1329.490160487351,-1266.1247101229396,53.38850245238645,2,-1083.5499418328525,-1083.8969632378967,-1039.6283900809221,-1069.0250983838905,20.78709455810252
0.43371327718098956,0.0625127442312895,0.004964907964070638,6.931117830379609e-05,400,0.1,0.1,0.1,0.1,"{'feature_select__k': 400, 'regression__alpha_1': 0.1, 'regression__alpha_2': 0.1, 'regression__lambda_1': 0.1, 'regression__lambda_2': 0.1}",-1259.7764419161517,-1210.3913574781832,-1340.7837918009593,-1270.317197065098,53.751758864167414,3,-1049.254075242194,-1046.3178052908227,-1000.8910990523473,-1032.1543265284547,22.138916933369572
0.4840273857116699,0.007074263931552614,0.0052725474039713545,6.138752428174505e-05,all,0.1,0.1,0.1,0.1,"{'feature_select__k': 'all', 'regression__alpha_1': 0.1, 'regression__alpha_2': 0.1, 'regression__lambda_1': 0.1, 'regression__lambda_2': 0.1}",-1295.7970160991822,-1206.836617148407,-1353.2199670227558,-1285.2845334234482,60.22128914326289,4,-1034.511397898667,-1039.1644391545703,-987.4655940904638,-1020.3804770479004,23.351728534287638
